SAMTEL,6/7/2015,21.60,22.10,21.50,787300
SAMCO,6/7/2015,4.64,4.64,4.44,5155201
SAMART,6/7/2015,25.00,26.25,25.00,23492436
SAM,6/7/2015,1.42,1.46,1.42,1674600
SALEE,6/7/2015,0.99,1.09,0.99,19876400
S11,6/7/2015,8.65,8.70,8.50,458100
S,6/7/2015,6.75,6.90,6.75,2281252
RWI,6/7/2015,3.94,4.06,3.94,546500
RS,6/7/2015,10.50,11.30,10.50,17805307
RPC,6/7/2015,1.10,1.12,1.10,5335000
ROJNA,6/7/2015,7.20,7.25,7.15,667690
ROBINS,6/7/2015,44.75,45.25,44.50,510900
RML,6/7/2015,1.40,1.42,1.39,10287700
RICHY,6/7/2015,2.26,2.32,2.26,622070
RICH,6/7/2015,1.24,1.29,1.24,8975001
RCL,6/7/2015,9.70,9.70,9.60,1801500
RCI,6/7/2015,5.30,5.40,5.00,4195100
RATCH,6/7/2015,56.25,56.75,56.25,296222
QTC,6/7/2015,4.34,4.38,4.32,42100
QLT,6/7/2015,13.20,13.20,12.90,47700
QHPF,6/7/2015,9.70,9.70,9.70,89900
QHOP,6/7/2015,4.20,4.22,4.16,7700
QHHR,6/7/2015,8.25,8.30,8.25,45300
QH,6/7/2015,2.42,2.44,2.40,27959436
Q-CON,6/7/2015,7.60,7.60,7.60,1500
PYLON,6/7/2015,11.00,11.80,10.90,10183100
PTTGC,6/7/2015,68.00,68.50,67.25,10081758
PTTEP,6/7/2015,106.50,107.00,105.50,3691929
PTT,6/7/2015,347.00,352.00,345.00,4227514
PTL,6/7/2015,9.75,9.85,9.75,543800
PTG,6/7/2015,15.30,15.60,15.20,8076100
PT,6/7/2015,9.60,9.90,9.60,235500
PSTC,6/7/2015,1.35,1.38,1.34,14546000
PSL,6/7/2015,8.45,8.70,8.45,2690624
PS,6/7/2015,24.20,24.40,23.80,2836465
PRIN,6/7/2015,2.22,2.28,2.18,7950300
PRECHA,6/7/2015,3.04,3.10,3.02,660900
PREB,6/7/2015,13.00,13.30,12.90,479400
PRANDA,6/7/2015,5.55,5.60,5.45,321100
PR,6/7/2015,50.50,50.50,50.25,6200
PPS,6/7/2015,1.37,1.41,1.36,1157700
PPP,6/7/2015,7.30,7.50,7.25,375600
PPM,6/7/2015,5.65,5.75,5.65,93100
POLAR,6/7/2015,0.19,0.22,0.18,898375297
POPF,6/7/2015,12.70,12.70,12.60,508200
PMTA,6/7/2015,19.70,19.80,19.70,77566
PM,6/7/2015,10.30,10.40,10.20,242500
PLE,6/7/2015,1.48,1.49,1.39,45518300
PLAT,6/7/2015,5.25,5.40,5.15,12805952
PLANB,6/7/2015,5.80,5.90,5.75,34987401
PL,6/7/2015,3.44,3.44,3.42,58300
PJW,6/7/2015,3.16,3.18,3.16,150100
PICO,6/7/2015,2.20,2.44,2.18,4248200
PHOL,6/7/2015,3.90,3.96,3.88,1171500
PG,6/7/2015,10.80,10.90,10.80,600
